WarehouseID,ProductID,UnitPrice,Quantity,StartVersion,EndVersion
1,1,666846.93,638,10000,999999999
2,2,758083.00,770,10000,999999999
3,3,186639.76,882,10000,999999999
4,4,370141.88,88,10000,999999999
5,5,508882.54,589,10000,999999999
6,6,611295.29,981,10000,999999999
7,7,783212.64,653,10000,999999999
8,8,651423.73,116,10000,999999999
9,9,788731.08,625,10000,999999999
10,10,469342.13,646,10000,999999999
11,11,561314.83,13,10000,999999999
12,12,422459.72,780,10000,999999999
13,13,327189.17,532,10000,999999999
14,14,889244.80,607,10000,999999999
15,15,709172.31,31,10000,999999999
16,16,393004.81,876,10000,999999999
17,17,281354.40,616,10000,999999999
18,18,893007.65,910,10000,999999999
19,19,398269.52,760,10000,999999999
20,20,583456.68,987,10000,999999999
21,21,577555.71,292,10000,999999999
22,22,978975.32,282,10000,999999999
23,23,599475.82,201,10000,999999999
24,24,968205.07,882,10000,999999999
25,25,369293.72,922,10000,999999999
26,26,518798.41,638,10000,999999999
27,27,412693.17,678,10000,999999999
28,28,804515.35,272,10000,999999999
29,29,475740.23,59,10000,999999999
30,30,945652.16,663,10000,999999999
31,31,508709.99,905,10000,999999999
32,32,474904.99,169,10000,999999999
33,33,627564.12,662,10000,999999999
34,34,787125.41,899,10000,999999999
35,35,995821.67,285,10000,999999999
36,36,709182.16,491,10000,999999999
37,37,231001.34,881,10000,999999999
38,38,765049.14,255,10000,999999999
39,39,187539.14,279,10000,999999999
40,40,298370.51,357,10000,999999999
41,41,310866.02,303,10000,999999999
42,42,117249.26,396,10000,999999999
43,43,732352.25,860,10000,999999999
44,44,727724.86,955,10000,999999999
45,45,668695.82,342,10000,999999999
46,46,586070.82,492,10000,999999999
47,47,771180.41,296,10000,999999999
48,48,305360.92,262,10000,999999999
49,49,375100.36,661,10000,999999999
50,50,135632.36,817,10000,999999999
51,51,890363.55,242,10000,999999999
52,52,305687.67,909,10000,999999999
53,53,213531.21,246,10000,999999999
54,54,431972.01,239,10000,999999999
55,55,570377.34,145,10000,999999999
56,56,157984.44,110,10000,999999999
57,57,293865.72,452,10000,999999999
58,58,316000.62,189,10000,999999999
59,59,208353.24,375,10000,999999999
60,60,853458.36,952,10000,999999999
61,61,819350.72,141,10000,999999999
62,62,483725.58,823,10000,999999999
63,63,938674.60,243,10000,999999999
64,64,263851.81,956,10000,999999999
65,65,708663.12,150,10000,999999999
66,66,733758.17,130,10000,999999999
67,67,474659.20,135,10000,999999999
68,68,784150.75,325,10000,999999999
69,69,195033.83,120,10000,999999999
70,70,355034.34,566,10000,999999999
71,71,207856.74,627,10000,999999999
72,72,926686.91,365,10000,999999999
73,73,460072.59,312,10000,999999999
74,74,196435.26,326,10000,999999999
75,75,543842.54,744,10000,999999999
76,76,685158.54,204,10000,999999999
77,77,619438.46,514,10000,999999999
78,78,884388.59,924,10000,999999999
79,79,933783.13,448,10000,999999999
80,80,128432.00,826,10000,999999999
81,81,500413.05,504,10000,999999999
82,82,240728.94,540,10000,999999999
83,83,148445.48,450,10000,999999999
84,84,433374.41,382,10000,999999999
85,85,258440.29,493,10000,999999999
86,86,548666.30,273,10000,999999999
87,87,779399.95,103,10000,999999999
88,88,505916.51,324,10000,999999999
89,89,710329.79,549,10000,999999999
90,90,466617.21,135,10000,999999999
91,91,466483.13,408,10000,999999999
92,92,982335.93,323,10000,999999999
93,93,154455.09,723,10000,999999999
94,94,441483.90,315,10000,999999999
95,95,209231.80,793,10000,999999999
96,96,250073.22,73,10000,999999999
97,97,625996.06,593,10000,999999999
98,98,987231.84,459,10000,999999999
99,99,984538.77,645,10000,999999999
100,100,681931.51,397,10000,999999999
101,101,399172.53,147,10000,999999999
102,102,539423.78,260,10000,999999999
103,103,733049.19,60,10000,999999999
104,104,755676.51,711,10000,999999999
105,105,640551.26,102,10000,999999999
106,106,129766.24,475,10000,999999999
107,107,700371.14,760,10000,999999999
108,108,384790.06,992,10000,999999999
109,109,965078.04,612,10000,999999999
110,110,473450.22,254,10000,999999999
111,111,979753.66,624,10000,999999999
112,112,614345.04,625,10000,999999999
113,113,770354.72,468,10000,999999999
