VersionID,VersionTypeID,OperationRunID,VersionNumber,Description,CreateDate
1,1,-1,10000,Hystorical - First Initial Load,2020-12-04
2,2,-1,10000,Hystorical - First Initial Load,2020-12-04
3,3,-1,10000,Hystorical - First Initial Load,2020-12-04
4,4,-1,10000,Hystorical - First Initial Load,2020-12-04
5,5,-1,10000,Hystorical - First Initial Load,2020-12-04
6,6,-1,10000,Hystorical - First Initial Load,2020-12-04
7,7,-1,10000,Hystorical - First Initial Load,2020-12-04
8,8,-1,10000,Hystorical - First Initial Load,2020-12-04
9,9,-1,10000,Hystorical - First Initial Load,2020-12-04
10,10,-1,10000,Hystorical - First Initial Load,2020-12-04
11,11,-1,10000,Hystorical - First Initial Load,2020-12-04
12,12,-1,10000,Hystorical - First Initial Load,2020-12-04
13,13,-1,10000,Hystorical - First Initial Load,2020-12-04
14,14,-1,10000,Hystorical - First Initial Load,2020-12-04
15,15,-1,10000,Hystorical - First Initial Load,2020-12-04
16,16,-1,10000,Hystorical - First Initial Load,2020-12-04
17,17,-1,10000,Hystorical - First Initial Load,2020-12-04
18,18,-1,10000,Hystorical - First Initial Load,2020-12-04
19,19,-1,10000,Hystorical - First Initial Load,2020-12-04
20,20,-1,10000,Hystorical - First Initial Load,2020-12-04
21,21,-1,10000,Hystorical - First Initial Load,2020-12-04
22,22,-1,10000,Hystorical - First Initial Load,2020-12-04
23,23,-1,10000,Hystorical - First Initial Load,2020-12-04
24,24,-1,10000,Hystorical - First Initial Load,2020-12-04
25,25,-1,10000,Hystorical - First Initial Load,2020-12-04
26,26,-1,10000,Hystorical - First Initial Load,2020-12-04
27,27,-1,10000,Hystorical - First Initial Load,2020-12-04
28,28,-1,10000,Hystorical - First Initial Load,2020-12-04
29,29,-1,10000,Hystorical - First Initial Load,2020-12-04
30,30,-1,10000,Hystorical - First Initial Load,2020-12-04
31,31,-1,10000,Hystorical - First Initial Load,2020-12-04
32,32,-1,10000,Hystorical - First Initial Load,2020-12-04
33,33,-1,10000,Hystorical - First Initial Load,2020-12-04
34,34,-1,10000,Hystorical - First Initial Load,2020-12-04
35,35,-1,10000,Hystorical - First Initial Load,2020-12-04
36,36,-1,10000,Hystorical - First Initial Load,2020-12-04
37,37,-1,10000,Hystorical - First Initial Load,2020-12-04
38,38,-1,10000,Hystorical - First Initial Load,2020-12-04
39,39,-1,10000,Hystorical - First Initial Load,2020-12-04
40,40,-1,10000,Hystorical - First Initial Load,2020-12-04
41,41,-1,10000,Hystorical - First Initial Load,2020-12-04
42,42,-1,10000,Hystorical - First Initial Load,2020-12-04
43,43,-1,10000,Hystorical - First Initial Load,2020-12-04
44,44,-1,10000,Hystorical - First Initial Load,2020-12-04
45,45,-1,10000,Hystorical - First Initial Load,2020-12-04
46,46,-1,10000,Hystorical - First Initial Load,2020-12-04
47,47,-1,10000,Hystorical - First Initial Load,2020-12-04
48,48,-1,10000,Hystorical - First Initial Load,2020-12-04
49,49,-1,10000,Hystorical - First Initial Load,2020-12-04
50,50,-1,10000,Hystorical - First Initial Load,2020-12-04
51,51,-1,10000,Hystorical - First Initial Load,2020-12-04
52,52,-1,10000,Hystorical - First Initial Load,2020-12-04
53,53,-1,10000,Hystorical - First Initial Load,2020-12-04
54,54,-1,10000,Hystorical - First Initial Load,2020-12-04
55,55,-1,10000,Hystorical - First Initial Load,2020-12-04
56,56,-1,10000,Hystorical - First Initial Load,2020-12-04
57,57,-1,10000,Hystorical - First Initial Load,2020-12-04
58,58,-1,10000,Hystorical - First Initial Load,2020-12-04
59,59,-1,10000,Hystorical - First Initial Load,2020-12-04
60,60,-1,10000,Hystorical - First Initial Load,2020-12-04
61,61,-1,10000,Hystorical - First Initial Load,2020-12-04
62,62,-1,10000,Hystorical - First Initial Load,2020-12-04
63,63,-1,10000,Hystorical - First Initial Load,2020-12-04
64,64,-1,10000,Hystorical - First Initial Load,2020-12-04
65,65,-1,10000,Hystorical - First Initial Load,2020-12-04
66,66,-1,10000,Hystorical - First Initial Load,2020-12-04
67,67,-1,10000,Hystorical - First Initial Load,2020-12-04
68,68,-1,10000,Hystorical - First Initial Load,2020-12-04
69,69,-1,10000,Hystorical - First Initial Load,2020-12-04
70,70,-1,10000,Hystorical - First Initial Load,2020-12-04
71,71,-1,10000,Hystorical - First Initial Load,2020-12-04
72,72,-1,10000,Hystorical - First Initial Load,2020-12-04
73,73,-1,10000,Hystorical - First Initial Load,2020-12-04
74,74,-1,10000,Hystorical - First Initial Load,2020-12-04
75,75,-1,10000,Hystorical - First Initial Load,2020-12-04
76,76,-1,10000,Hystorical - First Initial Load,2020-12-04
77,77,-1,10000,Hystorical - First Initial Load,2020-12-04
78,78,-1,10000,Hystorical - First Initial Load,2020-12-04
79,79,-1,10000,Hystorical - First Initial Load,2020-12-04
80,80,-1,10000,Hystorical - First Initial Load,2020-12-04
81,81,-1,10000,Hystorical - First Initial Load,2020-12-04
82,82,-1,10000,Hystorical - First Initial Load,2020-12-04
83,83,-1,10000,Hystorical - First Initial Load,2020-12-04
84,84,-1,10000,Hystorical - First Initial Load,2020-12-04
85,85,-1,10000,Hystorical - First Initial Load,2020-12-04
86,86,-1,10000,Hystorical - First Initial Load,2020-12-04
87,87,-1,10000,Hystorical - First Initial Load,2020-12-04
88,88,-1,10000,Hystorical - First Initial Load,2020-12-04
89,89,-1,10000,Hystorical - First Initial Load,2020-12-04
90,90,-1,10000,Hystorical - First Initial Load,2020-12-04
91,91,-1,10000,Hystorical - First Initial Load,2020-12-04
92,92,-1,10000,Hystorical - First Initial Load,2020-12-04
93,93,-1,10000,Hystorical - First Initial Load,2020-12-04
94,94,-1,10000,Hystorical - First Initial Load,2020-12-04
95,95,-1,10000,Hystorical - First Initial Load,2020-12-04
96,96,-1,10000,Hystorical - First Initial Load,2020-12-04
97,97,-1,10000,Hystorical - First Initial Load,2020-12-04
98,98,-1,10000,Hystorical - First Initial Load,2020-12-04
99,99,-1,10000,Hystorical - First Initial Load,2020-12-04
100,100,-1,10000,Hystorical - First Initial Load,2020-12-04
