WarehouseID,ProductID,UnitPrice,Quantity,StartVersion,EndVersion
1,1,10000,15,10000,999999999
2,2,20000,20,10000,999999999
3,3,18000,15,10000,999999999
4,4,93000,10,10000,999999999
5,5,89000,10,10000,999999999
6,6,19000,15,10000,999999999
7,7,75000,25,10000,999999999
8,8,78000,20,10000,999999999
9,9,44000,10,10000,999999999
10,10,70000,15,10000,999999999
11,11,10000,15,10000,999999999
12,12,67000,25,10000,999999999
13,13,10000,20,10000,999999999
14,14,68000,5,10000,999999999
15,15,35000,25,10000,999999999
16,16,87000,20,10000,999999999
17,17,98000,10,10000,999999999
18,18,49000,15,10000,999999999
19,19,75000,5,10000,999999999
20,20,47000,30,10000,999999999
21,21,86000,15,10000,999999999
22,22,30000,25,10000,999999999
23,23,40000,30,10000,999999999
24,24,66000,30,10000,999999999
25,25,21000,5,10000,999999999
26,26,94000,10,10000,999999999
27,27,70000,10,10000,999999999
28,28,95000,10,10000,999999999
29,29,18000,25,10000,999999999
30,30,50000,15,10000,999999999
31,31,33000,25,10000,999999999
32,32,20000,5,10000,999999999
33,33,82000,25,10000,999999999
34,34,91000,5,10000,999999999
35,35,99000,15,10000,999999999
36,36,90000,10,10000,999999999
37,37,26000,25,10000,999999999
38,38,73000,5,10000,999999999
39,39,45000,30,10000,999999999
40,40,27000,10,10000,999999999
41,41,70000,10,10000,999999999
42,42,37000,5,10000,999999999
43,43,93000,10,10000,999999999
44,44,20000,30,10000,999999999
45,45,97000,20,10000,999999999
46,46,52000,10,10000,999999999
47,47,85000,10,10000,999999999
48,48,94000,20,10000,999999999
49,49,61000,15,10000,999999999
50,50,94000,10,10000,999999999
51,51,35000,5,10000,999999999
52,52,57000,20,10000,999999999
53,53,55000,5,10000,999999999
54,54,94000,5,10000,999999999
55,55,44000,20,10000,999999999
56,56,81000,5,10000,999999999
57,57,58000,20,10000,999999999
58,58,93000,20,10000,999999999
59,59,31000,10,10000,999999999
60,60,71000,25,10000,999999999
61,61,15000,25,10000,999999999
62,62,25000,30,10000,999999999
63,63,71000,10,10000,999999999
64,64,33000,5,10000,999999999
65,65,30000,30,10000,999999999
66,66,75000,5,10000,999999999
67,67,13000,20,10000,999999999
68,68,96000,20,10000,999999999
69,69,22000,5,10000,999999999
70,70,81000,10,10000,999999999
71,71,28000,5,10000,999999999
72,72,73000,10,10000,999999999
73,73,67000,10,10000,999999999
74,74,65000,5,10000,999999999
75,75,65000,5,10000,999999999
76,76,97000,10,10000,999999999
77,77,80000,10,10000,999999999
78,78,35000,10,10000,999999999
79,79,12000,25,10000,999999999
80,80,32000,10,10000,999999999
81,81,78000,10,10000,999999999
82,82,99000,25,10000,999999999
83,83,87000,5,10000,999999999
84,84,23000,10,10000,999999999
85,85,39000,25,10000,999999999
86,86,50000,25,10000,999999999
87,87,56000,30,10000,999999999
88,88,79000,5,10000,999999999
89,89,61000,10,10000,999999999
90,90,10000,10,10000,999999999
91,91,11000,10,10000,999999999
92,92,20000,25,10000,999999999
93,93,26000,30,10000,999999999
94,94,82000,10,10000,999999999
95,95,69000,15,10000,999999999
96,96,14000,20,10000,999999999
97,97,72000,30,10000,999999999
98,98,92000,25,10000,999999999
99,99,99000,20,10000,999999999
100,100,57000,20,10000,999999999
